iter	RMSE
0	0.3738078171
1	0.3607849226
2	0.3486305829
3	0.3373059671
4	0.3275123824
5	0.3180876469
6	0.3092082957
7	0.2997491653
8	0.2908135938
9	0.2818583375
10	0.274134742
11	0.2669531187
12	0.2601478667
13	0.2528752312
14	0.2459348911
15	0.239315285
16	0.2333617406
17	0.2275508123
18	0.2223540022
19	0.2175641482
20	0.212559841
21	0.2069896746
22	0.2024452791
23	0.1985024628
24	0.1947153594
25	0.1907300455
26	0.1871077308
27	0.1837049864
28	0.1800799249
29	0.1764598215
30	0.1732356216
31	0.1700353982
32	0.1670070424
33	0.1644192179
34	0.1620023229
35	0.1594981687
36	0.1570542798
37	0.1548611126
38	0.1524425544
39	0.1502959457
40	0.1483984847
41	0.146179959
42	0.1442484442
43	0.1423550603
44	0.1404538221
45	0.1387704301
46	0.1370454813
47	0.1355986527
48	0.134025837
49	0.132716628
50	0.1313857099
51	0.130196853
52	0.1290479893
53	0.1279572831
54	0.1268924172
55	0.1260444672
56	0.124992456
57	0.1240601104
58	0.1232582784
59	0.1223306998
60	0.1215597225
61	0.120694196
62	0.1198578366
63	0.1190899437
64	0.1184003549
65	0.1176828275
66	0.1170357369
67	0.1164082895
68	0.1157810402
69	0.1152228274
70	0.114603542
71	0.1140796724
72	0.1135316793
73	0.1129588685
74	0.1124594067
75	0.1118099705
76	0.1109556477
77	0.110427441
78	0.1098581043
79	0.1094634995
80	0.1089198853
81	0.1084777433
82	0.1080598256
83	0.107539729
84	0.1070598462
85	0.1066379524
86	0.1062346689
87	0.1056848549
88	0.1052224212
89	0.1048701688
90	0.1045513119
91	0.1042710998
92	0.1039016993
93	0.1036233034
94	0.1032800357
95	0.1029247106
96	0.1027174255
97	0.1023924827
98	0.1020592117
99	0.101693753
100	0.1014677885
101	0.1011080242
102	0.1008674872
103	0.1005356256
104	0.1002260327
105	0.0999492769
106	0.09961698853
107	0.09939079293
108	0.09910667707
109	0.09896484406
110	0.09859611687
111	0.0982879436
112	0.09822543987
113	0.0980628191
114	0.09768820515
115	0.0975247162
116	0.0973160532
117	0.09697096234
118	0.09683656775
119	0.09670377361
120	0.09634233023
121	0.09619182141
122	0.09595830169
123	0.09565521202
124	0.09544805439
125	0.09525267918
126	0.09508030391
127	0.09482097345
128	0.09467793887
129	0.09444807745
130	0.09423792641
131	0.09411385179
132	0.09389879599
133	0.09383913139
134	0.09365652547
135	0.09351954807
136	0.09327853083
137	0.09309161819
138	0.09285279921
139	0.09268001758
140	0.09238906247
141	0.09222867462
142	0.09203967975
143	0.09170110631
144	0.09164033175
145	0.091387155
146	0.09122141679
147	0.09097127624
148	0.09085172759
149	0.09052903585
150	0.09041717336
151	0.0902914281
152	0.09006178335
153	0.08987768435
154	0.08965266371
155	0.0895733826
156	0.08954901656
157	0.08937288665
158	0.08918358601
159	0.0888446159
160	0.08867965549
161	0.0883961852
162	0.08833834513
163	0.08817967828
164	0.08786157669
165	0.08765933115
166	0.08741719846
167	0.08727506639
168	0.08724557386
169	0.08706548293
170	0.08680359193
171	0.08658200681
172	0.08631489457
173	0.08623721904
174	0.08614056129
175	0.08601091477
176	0.08586982708
177	0.0855835757
178	0.08554155562
179	0.08524708189
180	0.08491928132
181	0.084765656
182	0.08464147935
183	0.08432866572
184	0.08418097517
185	0.08397257515
186	0.08390661146
187	0.08362316421
188	0.08352094639
189	0.08345332139
190	0.08317693151
191	0.08301992534
192	0.08285584112
193	0.08263974444
194	0.08250926845
195	0.08220871905
196	0.08208946292
197	0.08187180936
198	0.08161806429
199	0.08141122417
200	0.08131341701
201	0.08107143741
202	0.08103972951
203	0.08081960759
204	0.08063591343
205	0.08041055545
206	0.08024179549
207	0.08021667076
208	0.08008246021
209	0.07984057396
210	0.07966190541
211	0.07939918584
212	0.07933681951
213	0.07904434205
214	0.07896690852
215	0.07863990971
216	0.07840548537
217	0.07834674267
218	0.07810585134
219	0.0779835638
220	0.07774383584
221	0.07749737814
222	0.0772767625
223	0.07703765466
224	0.07692735867
225	0.07667866428
226	0.07643969152
227	0.07634311285
228	0.07625977081
229	0.0761151626
230	0.07593421286
231	0.07572039584
232	0.07554175389
233	0.0753108058
234	0.07513049794
235	0.07507695048
236	0.07488541804
237	0.07471930664
238	0.07460627855
239	0.07442918258
240	0.07420510298
241	0.07398689461
242	0.07389857805
243	0.0736859332
244	0.07350779068
245	0.07343533558
246	0.07321031474
247	0.07305352768
